Date,Portfolio,SPY
2023-11-13,11092772.762671199,250775.83166803682
2023-11-14,11335222.64424964,255642.4121311848
2023-11-15,11434335.890310958,256183.14329375682
2023-11-16,11562046.874854451,256494.65146349938
2023-11-17,11538784.515613275,256812.0371458786
2023-11-20,11675699.586603547,258792.75890443037
2023-11-21,11692278.599870289,258228.51769131178
2023-11-22,11772065.89216863,259221.817326906
2023-11-24,11803455.260867022,259380.51016809558
2023-11-27,11786939.594663406,258916.18666980008
2023-11-28,11797471.212592343,259168.91971317612
2023-11-29,11822566.869481742,258986.7168214399
2023-11-30,11882670.716153672,260009.4040202174
2023-12-01,11989422.355978591,261549.31233102022
2023-12-04,11991733.36982448,260173.97437404367
2023-12-05,11976036.076601794,260121.07676031376
2023-12-06,11988884.209091552,259074.87951098967
2023-12-07,12059920.16321526,261049.7237569048
2023-12-08,12079606.050623443,262172.3286705054
2023-12-11,12186401.432966974,263195.0158692828
2023-12-12,12331592.56590566,264394.02844715986
2023-12-13,12439028.943810644,268043.9637945208
2023-12-14,12386101.280779952,268902.08063947206
2023-12-15,12514648.933488147,268461.26719172316
2023-12-18,12697699.816226957,269971.7879393427
2023-12-19,12719146.118612558,271611.6139649687
2023-12-20,12527185.904827137,267850.0058775114
2023-12-21,12684740.62504849,270389.09133654507
2023-12-22,12716633.508886501,270935.7000117537
2023-12-26,12764720.09364585,272075.9374632643
2023-12-27,12804088.651448438,272569.64852474304
2023-12-28,12816256.93782944,272669.56623956613
2023-12-29,12778443.867240306,271881.97954625473
2024-01-02,12641844.433118645,270359.70377336186
2024-01-03,12565321.293418149,268155.63653461734
2024-01-04,12645507.150268244,267291.64217702945
2024-01-05,12716143.33771627,267656.0479605019
2024-01-08,12875071.751354415,271476.4311743258
2024-01-09,12864645.82476967,271065.0052897602
2024-01-10,12904737.388154782,272599.0360879264
2024-01-11,12971267.731594114,272475.6083225567
2024-01-12,13012891.266277183,272663.68872692966
2024-01-16,12940624.240123885,271664.51157869876
2024-01-17,12890145.206742026,270153.9908310792
2024-01-18,12943813.45442531,272557.89349946997
2024-01-19,13110620.467682341,275955.0958034549
2024-01-22,13075415.063857803,276536.9695544834
2024-01-23,13101871.14444299,277348.06629834144
2024-01-24,13087056.444431625,277647.8194428107
2024-01-25,13141137.807429558,279158.3401904303
2024-01-26,13179592.256249668,278805.6894322312
2024-01-29,13339955.829024568,281009.7566709757
2024-01-30,13427163.74503336,280792.2887034196
2024-01-31,13274647.18923362,276213.7063594676
2024-02-01,13424488.41448496,279828.3766310087
2024-02-02,13571242.463919718,282773.01046197145
2024-02-05,13643957.018060768,281744.44575055735
2024-02-06,13583185.398192555,282561.420007052
2024-02-07,13646354.3833933,284918.3025743495
2024-02-08,13667996.04023574,285041.7303397193
2024-02-09,13800633.505012713,286693.31139061844
2024-02-12,13860442.617221976,286564.0061126121
2024-02-13,13726915.357653834,282620.19513341854
2024-02-14,13825267.310057567,285188.66815563553
2024-02-15,13883437.192870522,287157.634888914
2024-02-16,13852170.362101894,285723.52180557087
2024-02-20,13749722.517212203,284154.2259315847
2024-02-21,13712667.962901581,284406.9589749608
2024-02-22,14196067.091189224,290296.2266368862
2024-02-23,14278835.519177992,290496.0620665324
2024-02-26,14283400.653075598,289432.2322792983
2024-02-27,14353766.109373618,289967.0859292337
