rebalance_date,data_date,ticker,score,rank
2018-10-19,2018-10-19,AMD,0.641925,1
2018-10-19,2018-10-19,HON,0.627581,2
2018-10-19,2018-10-19,V,0.613075,3
2018-10-19,2018-10-19,IBM,0.612167,4
2018-10-19,2018-10-19,PEP,0.605908,5
2018-10-19,2018-10-19,MU,0.599597,6
2018-10-19,2018-10-19,GM,0.589119,7
2018-10-19,2018-10-19,COST,0.587404,8
2018-10-19,2018-10-19,T,0.584697,9
2018-10-19,2018-10-19,ANET,0.582965,10
2018-10-19,2018-10-19,GOOG,0.581649,11
2018-10-19,2018-10-19,CSCO,0.580654,12
2018-10-19,2018-10-19,JNJ,0.577465,13
2018-10-19,2018-10-19,PG,0.57728,14
2018-10-19,2018-10-19,BKNG,0.57618,15
2018-10-26,2018-10-26,AMD,0.733085,1
2018-10-26,2018-10-26,HON,0.700876,2
2018-10-26,2018-10-26,RJF,0.668071,3
2018-10-26,2018-10-26,MU,0.65188,4
2018-10-26,2018-10-26,IBM,0.630752,5
2018-10-26,2018-10-26,BKR,0.607148,6
2018-10-26,2018-10-26,NVDA,0.606287,7
2018-10-26,2018-10-26,PG,0.595107,8
2018-10-26,2018-10-26,AXP,0.593282,9
2018-10-26,2018-10-26,T,0.592716,10
2018-10-26,2018-10-26,BN,0.589524,11
2018-10-26,2018-10-26,COST,0.5871,12
2018-10-26,2018-10-26,GE,0.583192,13
2018-10-26,2018-10-26,CRM,0.582606,14
2018-10-26,2018-10-26,PEP,0.58257,15
2018-11-02,2018-11-02,IBM,0.639916,1
2018-11-02,2018-11-02,HON,0.637515,2
2018-11-02,2018-11-02,AXP,0.617075,3
2018-11-02,2018-11-02,COST,0.597338,4
2018-11-02,2018-11-02,AMD,0.586156,5
2018-11-02,2018-11-02,CRM,0.584352,6
2018-11-02,2018-11-02,GM,0.583647,7
2018-11-02,2018-11-02,BKR,0.583437,8
2018-11-02,2018-11-02,KO,0.582734,9
2018-11-02,2018-11-02,JNJ,0.579196,10
2018-11-02,2018-11-02,PFE,0.579176,11
2018-11-02,2018-11-02,BKNG,0.579092,12
2018-11-02,2018-11-02,F,0.570205,13
2018-11-02,2018-11-02,UAL,0.569771,14
2018-11-02,2018-11-02,RJF,0.569197,15
2018-11-09,2018-11-09,AMD,0.65742,1
2018-11-09,2018-11-09,IBKR,0.608908,2
2018-11-09,2018-11-09,CRM,0.60728,3
2018-11-09,2018-11-09,AXP,0.605297,4
2018-11-09,2018-11-09,JNJ,0.601909,5
2018-11-09,2018-11-09,GE,0.600559,6
2018-11-09,2018-11-09,SCHW,0.599443,7
2018-11-09,2018-11-09,V,0.594173,8
2018-11-09,2018-11-09,HON,0.592063,9
2018-11-09,2018-11-09,PEP,0.591298,10
2018-11-09,2018-11-09,PFE,0.58976,11
2018-11-09,2018-11-09,COST,0.588406,12
2018-11-09,2018-11-09,GM,0.585916,13
2018-11-09,2018-11-09,UAL,0.581977,14
2018-11-09,2018-11-09,KO,0.578813,15
2018-11-16,2018-11-16,GE,0.654049,1
2018-11-16,2018-11-16,AMD,0.608064,2
2018-11-16,2018-11-16,CRM,0.600947,3
2018-11-16,2018-11-16,NFLX,0.591241,4
2018-11-16,2018-11-16,AXP,0.590313,5
2018-11-16,2018-11-16,PEP,0.586101,6
2018-11-16,2018-11-16,BKR,0.582255,7
2018-11-16,2018-11-16,GM,0.57793,8
2018-11-16,2018-11-16,UAL,0.574394,9
2018-11-16,2018-11-16,JNJ,0.571825,10
2018-11-16,2018-11-16,V,0.569166,11
2018-11-16,2018-11-16,MELI,0.568005,12
2018-11-16,2018-11-16,AVGO,0.566115,13
2018-11-16,2018-11-16,IBKR,0.563239,14
2018-11-16,2018-11-16,CVS,0.562386,15
2018-11-23,2018-11-23,GE,0.700298,1
2018-11-23,2018-11-23,NVDA,0.674731,2
2018-11-23,2018-11-23,AMD,0.657222,3
2018-11-23,2018-11-23,BKR,0.63451,4
2018-11-23,2018-11-23,ANET,0.629887,5
2018-11-23,2018-11-23,META,0.625529,6
2018-11-23,2018-11-23,CRM,0.617286,7
2018-11-23,2018-11-23,MU,0.616362,8
2018-11-23,2018-11-23,MELI,0.60545,9
2018-11-23,2018-11-23,JNJ,0.601238,10
2018-11-23,2018-11-23,IBKR,0.599723,11
2018-11-23,2018-11-23,AAPL,0.597765,12
2018-11-23,2018-11-23,NFLX,0.592792,13
2018-11-23,2018-11-23,HON,0.586662,14
2018-11-23,2018-11-23,KKR,0.584655,15
2018-11-30,2018-11-30,GE,0.669673,1
2018-11-30,2018-11-30,IBM,0.632879,2
2018-11-30,2018-11-30,BKR,0.619167,3
2018-11-30,2018-11-30,IBKR,0.602003,4
2018-11-30,2018-11-30,CRM,0.589303,5
2018-11-30,2018-11-30,WMT,0.587446,6
2018-11-30,2018-11-30,V,0.579569,7
2018-11-30,2018-11-30,JNJ,0.57674,8
2018-11-30,2018-11-30,PFE,0.575549,9
2018-11-30,2018-11-30,MSFT,0.575387,10
2018-11-30,2018-11-30,META,0.574821,11
2018-11-30,2018-11-30,AXP,0.571264,12
2018-11-30,2018-11-30,BN,0.56846,13
2018-11-30,2018-11-30,AVGO,0.565853,14
2018-11-30,2018-11-30,MU,0.563983,15
2018-12-07,2018-12-07,GE,0.729803,1
2018-12-07,2018-12-07,AMD,0.70271,2
2018-12-07,2018-12-07,BKR,0.634798,3
2018-12-07,2018-12-07,META,0.6062,4
2018-12-07,2018-12-07,CVS,0.601406,5
2018-12-07,2018-12-07,SCHW,0.600677,6
2018-12-07,2018-12-07,HON,0.595843,7
2018-12-07,2018-12-07,FDX,0.589367,8
2018-12-07,2018-12-07,CRM,0.584194,9
2018-12-07,2018-12-07,IBM,0.581302,10
2018-12-07,2018-12-07,MELI,0.573588,11
2018-12-07,2018-12-07,AAPL,0.57336,12
2018-12-07,2018-12-07,MU,0.571335,13
2018-12-07,2018-12-07,WMT,0.571192,14
2018-12-07,2018-12-07,PEP,0.570496,15
2018-12-14,2018-12-14,GE,0.729147,1
2018-12-14,2018-12-14,FDX,0.668811,2
2018-12-14,2018-12-14,APO,0.666522,3
2018-12-14,2018-12-14,AMD,0.623506,4
2018-12-14,2018-12-14,BKR,0.620421,5
2018-12-14,2018-12-14,CRM,0.612575,6
2018-12-14,2018-12-14,META,0.606965,7
2018-12-14,2018-12-14,HON,0.60105,8
2018-12-14,2018-12-14,AVGO,0.596908,9
